time_ist,user,src_ip,share,path,access,bytes
2026-09-05 10:47:59 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Specs\recyclability_note_2026.pdf,READ,401408
2026-09-05 10:48:33 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Specs\cof_test_spec.pdf,READ,434176
2026-09-05 10:49:30 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Specs\barrier_layer_spec.pdf,READ,987136
2026-09-05 10:51:06 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Specs\retort_pouch_spec.pdf,READ,1134592
2026-09-05 10:53:42 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Specs\ink_adhesion_test_spec.pdf,READ,743424
2026-09-05 10:54:13 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\HR\esi_register_aug2026.xlsx,READ,356352
2026-09-05 10:57:33 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\HR\attendance_aug2026.xlsx,READ,610304
2026-09-05 10:57:55 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Specs\lamination_spec_v7.pdf,READ,1056768
2026-09-05 10:59:41 IST,VISTARA\sneha.patil,10.10.10.54,R:\,R:\HR\onboarding\bgv_checklist.xlsx,READ,94208
2026-09-05 11:02:19 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\HR\payroll_aug2026.xlsx,READ,2097152
2026-09-05 11:02:52 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\HR\bonus_workings_2026.xlsx,READ,301056
2026-09-05 11:04:02 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\HR\salary_bands_2026.xlsx,READ,512000
2026-09-05 11:06:38 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\HR\pf_nomination_register.xlsx,READ,389120
2026-09-05 11:09:27 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\HR\leave_balance_aug2026.xlsx,READ,433152
2026-09-05 11:09:32 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\HR\form16_batch_2025-26.zip,READ,1835008
2026-09-05 11:10:55 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\Finance\pl_projection_h2.xlsx,READ,745472
2026-09-05 11:11:50 IST,VISTARA\ananya.iyer,10.10.10.51,R:\,R:\Finance\vendor_master_2026.xlsx,READ,305152
2026-09-05 11:12:14 IST,VISTARA\sneha.patil,10.10.10.54,R:\,R:\HR\policies\leave_policy_2026.pdf,READ,131072
2026-09-05 11:14:17 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\Finance\capex_tracker_2026.xlsx,READ,521216
2026-09-05 11:14:31 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\Finance\bank_recon_aug2026.xlsx,READ,663552
2026-09-05 11:15:44 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\Finance\finance_summary_q2.xlsx,READ,1183744
2026-09-05 11:18:21 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\Finance\gst_workings_aug2026.xlsx,READ,892928
2026-09-05 11:21:47 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\Finance\ap_aging_2026-08.xlsx,READ,640000
2026-09-05 11:25:10 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\Finance\cost_center_alloc_q2.xlsx,READ,458752
2026-09-05 11:25:30 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\HR\salary_bands_2026.xlsx,READ,512000
2026-09-05 11:25:33 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\Finance\ar_aging_2026-08.xlsx,READ,598016
2026-09-05 11:27:39 IST,VISTARA\ananya.iyer,10.10.10.51,R:\,R:\Finance\petty_cash_aug2026.xlsx,WRITE,88064
2026-09-05 11:27:53 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\AUTO-21\tooling_cost.xlsx,READ,278528
2026-09-05 11:30:28 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\FMCG-07\packaging_bom.xlsx,READ,244184
2026-09-05 11:31:38 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\Finance\ar_aging_2026-08.xlsx,READ,598016
2026-09-05 11:32:31 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\FMCG-07\shelf_life_study.pdf,READ,1241088
2026-09-05 11:32:53 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Specs\lamination_spec_v7.pdf,READ,1056768
2026-09-05 11:33:02 IST,VISTARA\vikram.rao,10.10.10.55,S:\,S:\Specs\line3_trial_notes.pdf,READ,173056
2026-09-05 11:34:53 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Specs\ink_adhesion_test_spec.pdf,READ,743424
2026-09-05 11:34:58 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\PHARMA-12\blister_pack_v4.dwg,READ,21049344
2026-09-05 11:35:01 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\PHARMA-12\coa_template.pdf,READ,311296
2026-09-05 11:35:24 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\FMCG-07\design_rev2.dwg,READ,17219620
2026-09-05 11:35:25 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\AUTO-21\dash_film_rev1.dwg,READ,19300352
2026-09-05 11:38:47 IST,VISTARA\sneha.patil,10.10.10.54,R:\,R:\HR\onboarding\id_card_template.pptx,READ,260096
2026-09-05 11:40:05 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\HR\payroll_aug2026.xlsx,READ,2097152
2026-09-05 11:42:52 IST,VISTARA\svc_mon,10.10.20.21,R:\,R:\Finance\gst_workings_aug2026.xlsx,READ,892928
2026-09-05 11:44:01 IST,VISTARA\svc_mon,10.10.20.21,S:\,S:\Clients\FMCG-07\design_rev3.dwg,READ,18432000
